gene_id,DO229117,DO229119,DO229113,DO229112,DO229114,DO229065,DO229064,DO229067,DO229066,DO229069,DO229068,DO229070,DO229072,DO229071,DO229074,DO229073,DO229076,DO229075,DO229078,DO229077,DO229079,DO229081,DO229080,DO229083,DO229082
SOX8,3053,1295,1247,1654,1848,931,586,932,1145,832,444,1504,512,740,1394,1191,990,559,1954,893,1361,413,1746,1384,1291
SOX9,7964,4940,5245,36152,26874,58004,20780,14160,12061,27805,1233,39493,34543,15152,14801,65245,45998,35297,42033,16042,9146,2936,6030,26524,5897
SP1,17997,18116,17031,19994,35043,24702,25177,23284,17508,18294,27018,20130,31142,21164,23179,27574,46489,20411,22783,22562,15094,22948,13106,23909,34817
SP100,9013,310,9499,1838,17038,15538,14715,17310,9417,15742,9583,767,15283,6267,10485,14909,13272,8378,6358,9130,14966,794,8576,10958,9678
SP110,2398,1461,4535,821,5731,5124,5595,6361,3168,4591,8370,4333,6508,3030,4883,4802,6906,3090,4972,3866,7405,2305,2863,4004,3040
SP140,967,32,569,151,856,1083,471,1093,394,416,496,57,618,560,190,545,857,472,354,534,720,355,446,533,394
SP140L,2460,151,2051,592,2901,2713,2007,2513,2297,2516,2580,265,2452,766,868,2556,2713,1558,809,1561,2119,549,2543,2162,1878
SP2,4656,4012,5426,4799,4757,5397,6771,5724,5096,4835,6711,7339,7058,5392,4202,6028,5111,4652,6059,4442,4954,4924,3497,5695,4958
SP3,15661,14352,14413,24318,21686,20514,24443,23215,16600,17364,12493,23578,19380,18127,19752,24660,20309,15144,20281,14538,16789,18249,12262,17299,21344
SP4,2547,2165,1875,2421,4489,2839,3172,3008,3013,3003,1591,3433,3972,2754,2909,4595,3401,2936,3225,3340,2639,2243,1772,3665,3731
SP5,9966,5116,1633,81,3215,6796,591,496,4330,17029,45,477,1017,1000,3734,2101,563,5034,1760,269,1932,328,647,706,1644
SP6,1009,1036,713,390,630,275,625,241,1214,584,650,6755,652,547,235,1064,258,262,418,761,766,1169,208,446,224
SP8,204,1089,43,216,647,603,1347,142,493,26,704,55,1237,178,831,1477,130,81,923,3038,314,174,106,343,209
SP9,2,0,3,0,48,2,7,0,0,1,1,12,4,0,0,0,0,1,2,57,0,1,1,1,2
SPDEF,74903,225201,135126,86179,62980,146674,84607,94159,137847,198576,103193,107610,70603,193897,68967,84152,46687,85139,113476,71695,90180,173284,78979,97276,53797
SPEN,13247,13421,14958,19279,19065,17132,23821,21439,18969,13625,24340,22711,25554,17740,22344,27622,29095,16783,22665,23145,12507,17048,12255,23672,22315
SPI1,2775,138,3783,576,2921,2332,2740,3844,835,2386,3586,478,3304,2259,1040,3146,4115,1841,2066,1566,2306,848,2369,2367,1637
SPIC,3,15,2,1,1,10,2,5,1,2,2,5,7,2,0,2,10,10,4,7,2,1,0,1,0
SPZ1,3,10,2,12,12,47,11,0,0,22,38,9,7,2,9,2,4,54,50,11,0,18,46,10,5
SRCAP,29408,19380,30030,31430,25218,23882,29396,28592,21981,17252,40469,39127,35871,23107,32344,33596,38576,30920,22183,30228,22370,22769,24436,31882,26809
SREBF1,14633,54034,36872,51945,35068,77774,28630,58267,70286,58664,59288,66696,34795,25350,23357,25334,34481,25307,54355,46714,46298,15357,59501,22634,41753
SREBF2,21591,38709,14453,41745,28898,46257,31497,49390,40609,34648,51709,74015,51630,44195,47190,37815,45337,36327,94776,37933,33934,74225,47785,31958,30846
SRF,14655,11452,23272,14686,19394,12188,27129,19243,15233,13880,15714,15259,27345,17347,12074,32064,19831,19054,20764,11113,16121,15132,16297,23393,20967
SRY,1,2,0,0,1,0,2,1,3,5,0,2,2,2,1,4,7,2,1,1,36,0,4,3,5
ST18,22,172,55,5,707,293,60,428,10,452,31,52,95,962,82,85,241,493,27,100,1081,688,693,1171,101
STAT1,18552,11115,39093,24286,41048,82064,36987,48160,19760,33144,40297,15924,53025,23775,30740,38874,64521,29529,39086,34078,44007,31774,14726,26827,23773
STAT2,22988,11824,28445,23585,36882,22795,17888,18674,20803,13155,14804,16262,20474,15581,28553,17656,32718,28893,13215,33483,36796,12544,23013,26500,32090
STAT3,31607,18264,44254,11553,54061,56879,80372,50573,26564,31665,57998,33300,81544,31416,43933,80044,140287,52189,80216,47934,32298,18547,29096,46789,48879
STAT4,810,25,654,375,980,552,418,973,394,608,710,167,678,449,459,712,1772,858,515,666,766,172,687,799,497
STAT5A,4159,1086,5575,14047,5654,5481,8033,8385,3379,5640,4622,3311,8152,5686,3305,8095,8519,4553,4322,3785,3683,2404,3534,5561,5217
STAT5B,16195,14476,16157,14548,18470,15361,21354,19329,12254,14033,9878,16123,19553,15309,17201,23148,20210,16260,10877,17282,14610,13150,11911,17654,21160
STAT6,58268,28170,48808,39035,54583,48831,52954,49147,43813,46708,20638,6424,46708,33975,56685,62385,65989,63097,21139,45210,61682,44688,49633,49060,35043
TAL1,770,191,539,300,510,266,358,437,122,345,349,118,570,312,596,412,176,604,249,239,533,145,519,557,783
TAL2,21,55,18,28,362,16,6,3,145,2,7,4,10,36,18,16,24,33,1,21,18,3,21,23,2
TBP,3600,2829,2880,4373,2389,2655,2686,3495,3163,3070,4231,2858,3727,2982,3314,3628,5775,4135,2886,3584,3421,1592,3197,3580,3863
TBPL1,9448,3380,4940,9758,3844,8918,5649,5496,4546,8427,8541,2993,4918,5694,2969,5053,5085,5227,4686,7387,8920,6812,15452,8352,5315
TBPL2,75,60,65,89,58,36,27,22,56,25,28,42,36,38,74,28,62,95,33,77,68,87,63,66,73
TBR1,16,12,7,13,32,11,0,1,0,3,6,24,3,2,10,2,4,46,2,12,3,12,7,20,7
TBX1,1315,3172,6140,530,4797,5215,4708,5704,16,268,3024,11035,7561,2631,7047,890,1703,799,8306,4220,472,3666,8257,4101,933
TBX10,45,188,495,157,111,485,50,104,5440,1471,9530,9,17,57,264,27,245,9977,110,296,107,767,8,54,29
TBX15,35,150,57,201,32,65,77,16,209,275,173,180,55,235,29,263,84,72,148,253,33,134,72,133,37
TBX18,52,9,223,52,87,76,115,107,5,498,15,19,238,68,74,125,30,187,285,43,66,42,153,33,419
TBX19,1258,1002,890,621,1184,469,559,551,324,152,296,382,523,313,578,594,616,694,261,832,750,269,711,1092,1188
TBX2,6717,1564,12010,3082,9862,6546,6750,5137,1306,5100,1584,920,4902,4541,5420,4720,4090,7258,3121,3732,6850,2857,7111,6548,9746
TBX20,1,3,4,0,0,4,0,3,0,69,0,66,1,1,1,0,1,2,15,7,0,1,0,8,0
TBX21,260,6,273,37,286,242,153,376,120,122,185,10,149,186,57,166,180,169,117,100,188,55,209,161,102
TBX22,6,3,8,2,5,10,9,0,0,4,1,19,19,13,21,69,0,11,2,14,1,2,4,30,7
TBX3,47287,30606,63508,104570,68177,53956,52246,35651,51072,83186,58454,45485,41986,59053,67944,97094,85391,54191,22459,38342,82755,131531,44314,79539,64467
TBX4,1372,0,2744,122,3426,263,3435,155,259,18,1,18,99,293,16,230,67,84,422,395,341,84,155,813,136
TBX5,285,0,1730,57,371,206,415,252,102,11,38,809,111,150,84,460,128,19,199,222,193,43,108,181,343
TBX6,578,200,178,715,382,110,268,188,303,159,184,113,324,326,244,190,161,187,205,470,242,111,219,319,281
TCF12,9522,8892,12525,16245,15194,16004,13864,19152,12629,16059,22316,24309,17484,15390,13988,20229,16823,12341,16042,16876,11540,10599,8084,14759,18402
TCF15,66,26,65,17,37,50,38,68,21,195,42,333,34,41,17,29,15,78,119,9,32,48,56,23,59
TCF20,7652,10152,5349,10646,12269,14226,10261,10075,11660,9398,11416,13249,12868,10407,11522,12527,11859,7442,10755,9586,7012,11057,6668,11647,13842
TCF21,2745,15,9549,169,3318,1586,11214,3630,813,391,504,793,4886,3696,903,4452,1517,2976,1875,2192,5027,291,2544,3708,3749
TCF23,1,2,7,0,0,6,28,0,0,11,1,7,29,2,0,11,2,1,18,1,1,0,5,6,12
TCF3,12989,9840,10436,17710,15900,12415,18204,13277,12254,18187,16984,23692,17098,13044,9782,16909,7175,12327,11852,12023,11373,12473,11566,10292,10313
TCF4,8990,2546,9011,2710,14788,10608,14801,15798,5260,12029,7576,3095,15088,9546,9865,13545,10016,8878,8477,7334,6562,2931,6524,9736,20035
TCF7,1623,118,1288,706,1922,3150,2610,2882,1600,5417,864,294,2772,1538,991,3879,2086,1735,1787,953,1431,761,1260,1466,1125
TCF7L1,2709,401,3850,820,1987,1433,4093,2203,540,1392,655,735,2885,1752,1049,3009,1477,1347,2631,1159,1565,465,1514,2136,2281
TCF7L2,4931,3525,5941,6753,7357,7336,5039,4382,2990,5707,4907,592,6168,4143,5385,6591,19802,8454,5163,5039,6517,8163,3498,7182,5967
TCFL5,3829,2268,2350,2856,2951,3648,2762,2437,1369,2805,1574,1636,2440,2930,2135,2812,1719,1494,2442,1852,1982,2608,1374,2152,3135
TEAD1,6045,4535,11360,5031,14542,9583,21593,9688,5354,7635,6919,9437,16384,7982,11659,18431,13293,6754,10698,15157,8603,7581,7799,11120,16877
TEAD2,3869,247,4653,7384,3539,4663,9055,5880,1386,4215,4277,3339,4979,2292,1245,8675,9276,9652,16490,4879,4069,1199,2756,5835,3233
TEAD3,12492,6698,14335,12800,12705,8949,18285,12635,9641,9090,13646,7547,18172,9001,13390,16900,23455,21139,16096,12094,17857,7792,12091,12130,14937
TEAD4,1449,232,1065,1482,2061,1228,2289,2236,1286,2404,1930,2166,2072,876,807,1982,4996,1973,2305,873,919,105,1083,1242,1253
TEF,3475,1345,9180,6066,6674,8517,8820,6439,5767,6741,2051,3949,8023,5931,2882,6235,3643,4650,6444,4492,2672,4104,5581,5079,8398
TERF1,8177,10763,6783,7415,6919,6519,8907,7221,8286,5471,7394,8112,7843,6904,7792,7812,8189,6962,8561,10284,8420,14889,5550,10476,12733
TERF2,6804,3758,6726,7074,4679,4618,6224,6968,7350,7406,4549,5250,6506,5833,5164,6904,5801,5405,5218,5725,3043,3569,5114,4134,4540
TET1,615,426,753,778,1064,944,646,605,923,973,466,233,1484,505,1372,810,357,770,419,1337,701,2432,395,774,912
TET2,6573,4620,5935,9432,10720,5007,9371,6159,5186,4198,6680,8028,8056,5102,8667,8286,12897,10149,7882,12419,8119,4403,6907,9169,10072
TET3,5879,9711,6616,14554,11397,6804,7364,6412,10848,6361,8312,15452,11990,9191,13254,8024,10641,9242,5832,6206,6392,8937,8276,12336,14264
TFAP2A,6870,830,3433,12950,4225,2119,4509,3340,2276,1540,5210,13763,6277,3560,4236,3192,4458,7971,5171,12558,4842,1894,8025,3480,5482
TFAP2B,2,1,16,0,7,7,5,1,3,18,2,9,5,7,2,17,0,13,8,6,1,6,2,17,13
TFAP2C,4135,3553,4221,2442,5707,5075,5163,4752,2914,3642,7981,3677,8149,2993,3299,5346,9706,4892,6532,3738,5228,437,4913,6710,4041
TFAP2D,1,3,6,0,1,8,0,1,0,2,2,7,0,1,1,0,0,4,0,12,0,0,1,23,7
TFAP2E,452,86,863,445,463,100,198,100,313,324,214,226,270,463,471,294,295,603,660,517,783,780,466,377,250
TFAP4,4632,3172,3768,5659,2497,2858,2266,2937,5131,6078,4718,5061,2353,3359,4834,3024,1595,2215,2531,2937,2431,4978,2633,2920,3586
TFCP2,7635,14005,11062,14488,9749,12866,12077,10608,13009,12373,14800,9321,13562,16175,12722,13397,8003,12201,13140,11762,11439,17185,10969,11239,11347
TFCP2L1,3464,9,494,925,2577,1643,3466,2504,264,146,1081,1844,8424,2269,2549,12737,6685,4213,756,3583,3691,683,4743,3181,3056
TFDP1,14634,19615,8611,19110,18242,17161,16041,16541,15664,14322,12946,31766,11829,14682,12567,17401,13785,10882,14023,13201,12592,13837,9609,10012,12214
TFDP2,7902,7216,4920,6268,8248,7755,9337,12333,8715,6409,4950,5809,12297,7183,10636,11564,6501,7109,10287,9029,7981,6225,6662,10017,17348
TFDP3,0,1,0,1,0,4,0,1,0,2,0,1,0,1,0,0,0,2,0,1,0,0,0,11,0
TFE3,10209,5631,14552,9255,11698,13034,16242,11410,8662,9112,13145,11745,13855,10426,7284,13830,14498,9932,14990,8326,10222,8340,9483,9632,15725
TFEB,5811,537,4618,12089,6132,7859,8378,11358,4769,10140,3669,12287,8215,2378,4277,7377,4636,4623,3254,5015,2656,957,2323,4105,2816
TFEC,814,35,1120,198,2199,957,634,1865,438,479,625,56,952,570,484,895,2432,813,481,776,935,282,598,1102,932
TGIF1,14424,11699,12419,8626,30935,16275,22571,10238,18259,26233,17580,7216,18315,15146,12414,20978,23621,11367,28110,11631,17574,9832,14765,17534,12563
TGIF2LX,1,5,1,2,0,1,0,0,0,1,0,7,0,3,0,0,0,3,0,5,0,153,0,5,0
TGIF2LY,0,3,2,1,0,1,0,0,0,1,0,3,1,0,1,0,0,1,0,2,0,56,1,6,1
THAP1,2387,1873,1743,1275,1842,2299,2121,2120,1207,1584,1626,1632,1969,2473,1865,1844,1823,1525,1843,1286,1509,1958,1120,1394,1660
THAP10,1575,624,727,1431,1173,1743,1187,940,756,1127,1809,984,1216,1497,746,843,470,527,979,662,1000,498,635,743,1082
THAP11,5099,3119,4830,4327,3341,4088,5117,5368,3700,5701,3519,3900,4638,4469,3407,5392,2572,2525,3428,3801,2146,2324,2046,2315,3567
THAP2,2560,1456,1107,1863,2069,1699,1459,2505,1034,1093,1603,1056,1183,1477,1715,1417,1175,1451,1756,1659,1580,1932,1050,1484,1522
THAP3,4705,3137,3772,3900,2557,3044,3193,3519,3581,3864,2477,3944,2714,2724,2889,3282,2350,2583,3852,2985,3342,2707,2690,2200,2290
THAP4,8380,8179,11887,7666,7790,15013,13799,21082,13677,17280,15335,20727,12508,10779,7575,16363,9747,9212,12703,8079,14423,17783,10989,9957,7888
THAP5,4536,7023,5941,6116,7452,6304,7297,7612,9920,4516,7542,6208,7561,7851,6070,6096,7517,5739,7688,6796,4566,11673,4362,6360,4990
THAP6,4892,4108,3831,6358,5253,4348,4365,5069,5010,3777,5287,4185,4958,4146,6010,4776,5037,5374,4161,5878,5089,5459,4062,4650,5511
THAP7,7626,4062,7453,5469,6985,7217,7048,6955,5589,9470,6669,6369,6497,6437,4943,6219,4198,5455,7409,4964,5710,5947,7083,5010,4371
THAP8,1172,1090,1182,1395,1140,1191,1461,1171,1184,1149,1302,1358,1269,919,994,866,773,825,1102,983,889,457,847,912,887
THAP9,1679,2038,1419,2128,1717,2125,1518,1751,1623,1831,2810,1824,1732,1456,1870,1578,1874,2076,1696,1971,1703,1970,1176,1637,1588
THRA,11725,13772,12539,7790,10184,9501,15910,13222,13678,11531,5492,15569,11067,11377,8967,15189,5440,5343,10147,8980,6045,6271,6095,11975,9598
THRB,6284,4175,22719,18784,6085,3936,6787,22436,5888,9435,12174,5146,8945,6954,12581,8197,6506,19144,9006,11630,3879,6850,4635,23212,8277
THYN1,9742,5514,12394,7603,7974,18399,8199,8028,7133,60334,11397,6852,8099,9413,6884,18004,4776,12834,13575,8326,14026,5600,9227,7492,6007
TIGD2,1634,952,1397,1835,1218,1762,1847,1565,1631,2037,1740,3111,2017,1809,1802,1988,1299,1482,1638,1853,929,743,898,1501,1170
TIGD3,382,292,424,432,477,288,110,139,154,168,287,391,171,117,115,119,106,211,126,196,139,557,98,195,188
TIGD4,254,187,189,248,521,256,136,105,272,127,173,60,169,229,289,161,165,163,111,225,217,344,88,210,222
TIGD5,2029,2550,2183,2443,3994,1605,1446,1740,2357,2597,4778,3074,2462,1963,1177,1509,1055,1183,2672,1272,1195,7272,1128,2571,1621
TIGD6,3146,2289,2425,2782,2523,2903,2489,3342,2112,4201,4309,2787,3273,3802,3133,2504,2417,3060,4580,2611,2434,3704,2436,3939,1337
TIGD7,1294,1623,947,1367,1478,825,1402,1209,1182,934,818,1536,855,910,1289,1017,1647,1359,1340,1772,1021,729,869,848,1330
TLX1,49,25,28,25,0,71,9,1,0,15,0,22,12,25,2,2,2,13,0,9,7,335,8,6,7
TLX2,7,10,13,5,13,13,1,4,3,35,9,0,11,1,11,17,3,10,61,2,0,1,4,12,31
TLX3,3,0,1,10,0,2,0,1,0,2,1,3,0,1,1,0,0,1,10,2,0,0,3,2,8
TMF1,12708,11804,9072,14092,15343,19351,16149,15751,10979,9919,19762,12107,19047,11221,19361,18168,24210,13145,19219,17236,21820,11353,11795,15889,15720
TOPORS,4983,7045,4981,6659,5151,6198,6414,6685,6741,5109,6766,6526,6625,4859,5899,7863,8094,6400,7259,6409,5350,4504,4085,5653,5805
TP53,9259,7764,11185,13716,5690,17830,9980,17297,12312,14737,19709,22511,9506,9599,9574,10631,7442,7664,2309,10139,10785,12036,7431,11459,8809
TP63,2726,6,273,114,4982,1251,5671,2589,134,51,1118,961,10619,1529,1449,5547,5586,892,1150,4288,1061,28,142,2235,3103
TP73,1762,1910,787,2292,1217,806,703,355,350,585,678,813,1352,1527,490,973,671,558,612,881,1351,1699,395,928,1093
TPRX1,0,1,1,1,1,6,1,0,1,6,0,5,1,1,0,0,0,4,0,2,0,0,0,3,4
TRAFD1,14219,7954,13740,11993,14173,14040,13065,15234,11265,9640,20241,4115,18144,9472,9294,17018,52554,14748,14560,9800,10297,15892,7634,12744,11779
TRERF1,1983,777,4931,10492,3041,2061,4499,2098,2190,771,777,1588,5597,2837,4169,4610,1956,3099,2328,3896,2308,8656,3227,2982,12938
TRPS1,4380,7637,4939,1544,8885,5346,9553,4741,11619,4373,13425,3293,9015,2589,5984,9001,4898,3292,6204,6571,2807,12162,2197,8010,8528
TSC22D1,58901,72392,54000,47862,108855,69434,204878,138548,107054,34624,222919,104959,109248,54361,79737,144997,363510,70676,186146,135826,68602,28663,181475,154661,289677
TSHZ1,7523,14573,6277,8770,7555,6841,9991,11241,14071,11646,17138,7176,9184,9714,9212,14381,4903,5449,6319,7665,7248,4616,4225,10145,9579
TSHZ2,2019,42,2543,233,4281,3912,3998,3822,892,1006,1806,841,3656,2230,673,2902,3285,1892,1914,1658,1193,188,1388,2413,3292
TSHZ3,2657,708,3543,1218,3649,2473,7521,3374,761,8954,1966,969,5151,2431,2107,6377,3951,3266,3210,2645,2309,1696,2204,3549,4083
TTF1,2982,2910,2459,3430,3208,3427,4612,3281,3849,3242,3628,4800,4762,3861,2783,4184,3251,2555,4071,2896,2346,3263,2785,3130,3992
TWIST1,1237,852,3063,2684,1213,762,1177,15802,572,3647,708,4423,9977,4678,3521,719,162,368,1536,630,727,35,438,2652,319
TWIST2,287,7,470,40,324,192,1058,372,56,254,94,51,483,331,80,859,195,175,247,191,215,1,213,321,400
UBP1,19930,6924,17758,20053,15651,15682,18176,17108,15369,12347,19014,16966,15555,13761,16118,19601,18934,15846,16638,21021,16152,13766,10716,17184,20066
UNCX,2,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1
USF1,15966,9127,9858,11967,7406,6898,7399,8665,9751,5643,7185,7515,8668,5037,6396,8432,8866,7973,10075,7767,7476,6449,10237,7442,9623
USF2,26488,27299,23994,22354,24362,24883,26459,29951,20382,33082,27681,37974,23567,28574,22034,23332,16848,19122,28261,23850,21237,18297,20087,20259,22218
VAX1,111,0,134,1,0,22,7,1,0,1,0,33,0,1,0,0,1,13,0,6,8,425,0,3,0
VAX2,192,86,961,34,35,1400,275,63,38,52,433,1338,128,389,28,81,93,84,744,53,70,238,56,69,325
VDR,1442,101,2093,867,2366,1388,1299,2297,1363,1349,1009,1211,3090,606,725,1606,2546,969,936,814,518,130,582,433,1117
VENTX,355,10,947,77,427,90,368,357,125,315,99,31,326,158,210,420,772,388,133,602,335,95,270,360,487
VEZF1,9102,12851,10996,10562,13017,12090,16776,15097,10670,11229,11833,13639,16772,12279,14073,17516,15372,12344,11591,12161,10301,12298,8693,14506,14227
VSX1,50,22,20,12,23,53,40,6,49,28,33,10,19,18,5,8,81,36,11,24,101,18,14,6,48
VSX2,1,4,1,3,1,7,0,1,1,2,1,2,3,12,1,0,2,4,1,2,2,13,1,5,4
WIZ,12509,14432,15636,15618,12342,15424,15579,15367,13677,13496,17943,24220,16817,13589,12065,14772,11818,10620,12112,11097,10842,14568,11817,12491,12683
WT1,72,7,269,10,206,271,545,28,2,297,11,468,259,45,0,124,450,224,165,269,16,4,119,104,100
XBP1,118736,167808,75724,108012,112837,135367,166603,98432,128723,267452,333822,118021,126827,119319,129570,263710,685966,236214,238465,174146,273823,104635,189219,171442,185706
XPA,5044,8983,4985,3783,4348,3765,3839,3645,4928,3865,3536,4605,4362,3057,3646,5236,3750,4306,4804,4097,5184,3945,3227,4069,4575
YBX1,73529,63534,65229,69132,41454,84261,84552,91553,70834,89225,79644,120206,74798,74901,44707,83610,63388,51135,104255,58082,56264,37791,53229,59834,57784
YBX2,248,253,88,380,126,54,129,55,145,148,44,35,257,126,110,445,58,378,132,89,722,130,159,311,203
YY1,22002,22264,20662,25477,25255,25783,26361,31480,23098,31163,31901,32690,28391,24913,20785,27613,20223,19810,28289,23651,22705,28923,18764,22600,25338
YY2,855,1382,405,620,1139,1134,302,345,457,191,847,750,230,480,299,379,462,510,877,951,1038,451,674,348,1680
ZBED2,82,1,38,66,98,130,40,84,15,64,62,7,25,21,4,67,91,11,9,44,20,16,30,17,29
ZBED3,3065,5689,6248,5263,4737,5549,4676,5517,6676,1924,3233,7390,4395,3671,3067,5575,4535,4815,3177,5132,1340,4261,3848,4378,4613
ZBED4,5137,7481,2691,12276,6265,5651,4592,6371,6110,5312,10564,11427,6798,5950,7180,7030,8467,5802,9046,6654,3865,5924,4346,6762,7703
ZBED5,12763,7529,12624,13618,19008,9231,10490,10061,8555,9673,10714,12808,10082,8008,11643,10212,13462,11248,11552,13435,14430,11342,10743,11455,11974
ZBTB1,20062,12608,11267,25744,19663,10239,10687,10622,13723,8405,9280,7498,10795,10304,17299,10357,13559,14376,11350,12391,14258,21921,11458,15977,20617
ZBTB10,12353,33419,24031,11288,35160,26847,26394,24178,52080,26158,25569,21059,22343,53364,25603,29188,16511,24303,35636,30273,27576,149188,26024,37859,29229
ZBTB11,6053,5985,4898,7655,8760,7132,8153,7642,8044,5925,9243,9227,9116,7400,8331,7968,10718,7761,10421,8730,12882,7368,6885,5512,8267
ZBTB12,3015,1053,1484,3490,1420,1562,1579,915,887,2658,1818,2937,1359,2336,1367,1159,954,1097,1768,2761,938,1203,665,954,1191
ZBTB16,2339,6676,4219,5573,6911,4958,5728,5140,6322,2524,5633,3184,3734,6294,4143,5579,3625,3765,5310,366,8393,7593,6926,9397,13367
ZBTB17,8648,6147,7051,9045,5634,6636,6598,5348,8078,6875,5411,7421,6235,6698,5387,6652,6952,7841,9062,7184,8453,4783,7750,5788,5563
ZBTB2,3207,2796,2793,2920,3440,4243,3889,3632,3698,3771,4420,3384,4862,3503,2866,4491,3201,2716,3923,3006,2086,3552,2746,2790,4340
ZBTB20,452,790,159,76,381,348,695,543,598,170,207,262,814,289,253,772,547,328,682,549,364,106,557,264,1614
ZBTB25,6945,3324,4510,9146,6261,3003,2925,2889,5104,2640,2176,2345,2586,2516,4846,2445,4016,4224,2742,5099,5257,6556,4140,4868,5139
ZBTB26,3729,4405,2945,6921,3428,2480,3327,3262,4077,2610,3844,5173,4526,2814,4592,4734,4577,4221,3150,5037,2685,2671,2160,3207,3814
ZBTB3,996,1304,1133,1932,1377,1192,707,916,1138,1161,1482,1665,1153,1058,1600,871,754,1354,1261,1000,1276,839,888,1249,851
ZBTB32,393,266,297,99,362,169,148,102,86,142,134,122,92,128,135,223,259,233,94,335,233,399,287,212,194
ZBTB33,4359,10213,5692,5797,5811,6819,6958,10090,8431,6856,12640,11837,9066,6499,7880,8661,8222,5159,6121,6910,4730,7594,4238,6936,6171
ZBTB34,2986,4525,2738,3021,5245,2970,2359,3674,4887,2884,3403,2229,6083,3274,6080,4461,4413,4024,6255,4144,2717,3061,2596,4304,5405
ZBTB37,5328,4566,5356,12118,6847,4158,4065,4924,7281,5054,5660,3677,5815,3617,12744,6478,11727,9467,4679,13196,6983,8159,5225,8378,8431
ZBTB38,11909,4054,9733,7575,15626,15606,19431,21489,8068,10228,15023,9326,23576,9950,17038,21354,16898,12520,15859,13307,17103,4843,14392,16471,17211
ZBTB39,1845,2035,2472,4574,3766,2768,2265,3399,2983,2274,3406,4293,3676,2869,3942,3812,2807,1913,1598,3316,1794,2958,1563,2820,3278
ZBTB4,23347,23692,30922,21629,27375,29865,36914,30928,19567,21989,27361,13983,30410,20696,28050,38369,16122,18476,23241,29031,23935,17046,14473,27927,31796
ZBTB40,9331,7013,8987,11366,12492,6624,8571,10835,7885,6038,7503,9716,12375,6702,12306,13543,10801,7499,5880,11817,10548,7650,11574,14050,13709
ZBTB41,3735,3373,4351,5751,5231,7415,8845,7679,6414,5247,9528,6738,7956,6810,6976,7447,8212,5372,9972,7986,4289,5886,2756,4763,7151
ZBTB43,3844,4420,3863,8177,7585,4550,3512,3215,4371,2693,4388,3699,6358,3426,6847,4533,6684,5917,7681,5354,5044,3629,4259,5129,6306
ZBTB44,14574,15350,12569,16251,17592,23490,14273,20760,16822,18508,37733,19595,15927,20079,18594,17260,12153,11588,18176,18085,15707,23286,9338,17029,22557
ZBTB45,5789,4010,5228,5229,2195,3837,4528,4117,6669,4961,2811,6767,4019,5135,3628,3705,2881,3422,4661,3595,3221,4245,3127,3347,3085
ZBTB46,3269,2635,4010,1868,3522,2078,2229,2003,847,2311,1608,1382,2320,2546,2578,2927,2513,2221,2096,2303,2141,1311,2569,2509,3127
ZBTB47,5647,2491,12401,4877,7423,5731,10632,10480,4878,6922,5202,4868,8388,6266,6062,9290,4221,4292,7785,6247,6859,2103,5968,9036,9314
ZBTB48,9360,5981,8963,10120,6366,4857,6031,4620,7663,9434,5345,6102,5736,5948,7781,6630,7716,12671,6404,7719,13447,8832,13861,8137,7171
ZBTB49,1468,1513,1286,1914,1208,1284,1203,1022,918,1127,1185,1581,1484,1183,1481,1643,2263,1803,1298,1833,1687,647,1616,1456,1441
ZBTB5,5028,4949,4656,6272,6794,4639,5209,4736,5574,3627,5232,6083,6712,5622,5373,6730,7010,5019,4640,6061,3263,4894,4095,5859,5204
ZBTB6,2882,4554,2262,3433,2789,3180,2822,3702,3635,1949,4276,4420,4356,3827,3495,3630,3545,2549,3167,3088,2011,2686,1753,2936,3314
ZBTB7A,10767,9031,12378,12770,10596,10469,12677,11809,9748,11738,13957,13309,16639,12046,10482,14002,11434,10408,11519,9400,11002,10146,9806,10170,18863
ZBTB7B,37651,86499,16437,29146,31157,38282,27967,18218,41215,26306,21741,53291,22851,42081,22874,29127,27182,21943,61596,26536,22103,24861,22659,19293,38044
ZBTB7C,595,32,305,693,672,341,1481,340,1491,708,671,1505,1618,579,145,1730,682,579,2229,824,217,1449,435,2951,656
ZBTB8A,2017,1518,1653,2992,2372,1778,2285,2187,1088,1239,2059,2364,2029,1643,1578,1773,1827,1832,2551,1634,1255,375,1313,1800,2235
ZBTB9,1910,2500,2593,2932,1836,2508,1521,2333,2262,2183,3279,4996,2888,2698,2048,2401,2170,2359,2498,1517,1626,2247,1751,2299,1761
ZC3H8,5338,4363,4572,6445,4736,3204,2506,3460,4792,4484,2131,3807,3362,3634,5905,3407,3699,4548,1750,4430,4757,7322,3435,4249,3744
ZEB1,5109,796,13407,1672,12401,6037,13983,10393,1731,4194,2635,1131,10378,5747,3616,11773,5757,7086,5897,4878,6645,1073,7283,8729,16190
ZEB2,4464,682,9073,1445,7685,4203,10211,11316,1627,4561,4690,751,7995,6037,3735,8474,9727,5645,6097,4300,5114,1206,3855,8491,9712
ZFAT,2169,2975,2162,2271,2398,2392,2114,2335,2698,2055,2186,3251,2602,2761,1622,2121,2036,1542,2632,2104,1590,3884,1359,2660,2534
ZFHX3,13708,20240,10579,17486,27162,25382,16683,26200,19624,14896,14748,14187,24973,22712,28515,27152,22347,15337,11870,23468,9030,11686,14782,15748,31434
