gene_id,DO229117,DO229119,DO229113,DO229112,DO229114,DO229065,DO229064,DO229067,DO229066,DO229069,DO229068,DO229070,DO229072,DO229071,DO229074,DO229073,DO229076,DO229075,DO229078,DO229077,DO229079,DO229081,DO229080,DO229083,DO229082
PLSCR1,5360,182,6741,2123,8516,7592,9236,7838,1052,5885,15689,578,14282,4015,4948,11270,33932,6725,9476,6423,14504,2748,4684,5823,4767
POGK,8880,11580,8996,15310,11073,8938,10368,10302,8933,5028,12318,16838,12869,7353,11235,13142,12689,11195,10550,11157,6805,9523,8336,9274,12092
POU1F1,6,13,2,3,18,7,5,15,1,3,2,12,13,5,18,7,20,11,8,22,2,8,17,11,9
POU2AF1,3182,188,576,423,1584,1096,468,1008,356,414,244,119,808,571,170,613,800,261,278,369,649,978,173,422,341
POU2F1,5813,4141,5121,12137,9852,6305,5961,8464,4726,4293,8280,8368,8402,4599,9378,8392,7983,7985,7287,8453,5349,9867,6477,8433,11528
POU2F2,1970,507,1812,652,1600,1285,1252,1887,1763,2172,1631,253,2151,2450,751,1866,2900,3428,789,879,1839,1667,2105,2628,1314
POU2F3,380,99,185,313,489,203,457,357,241,443,614,158,438,434,363,296,546,113,226,344,327,307,259,393,274
POU3F1,17,2,43,14,37,34,9,51,17,38,22,16,56,23,6,49,60,24,19,6,20,30,44,37,16
POU3F2,35,2,58,0,3,8,1,1,0,10,0,12,1,2,5,2,17,16,7,5,0,2,2,10,9
POU3F3,44,0,1,0,1,10,166,1,0,1,0,2,14,0,0,1,0,2,1,5,1,2,0,10,3
POU3F4,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1
POU4F1,7,0,2,0,72,2,18,0,1,3,14,7,1,2,5,37,6,35,4,122,1,61,7,2,10
POU4F2,74,7,1,0,82,9,1,0,0,2,4,9,1,1,1,2,0,9,0,2,0,5,0,11,57
POU4F3,7,12,11,15,11,6,4,4,8,15,3,17,6,11,17,7,14,16,15,25,20,5,9,11,11
POU5F1,789,1675,196,301,5392,555,407,180,385,438,164,583,188,1001,923,973,397,448,92,423,2756,1939,1205,503,426
POU5F1B,664,2119,648,740,1037,685,428,553,1077,2694,889,1440,346,1034,3859,984,966,1887,463,673,1078,2734,511,1769,1295
POU5F2,47,37,45,71,83,27,8,23,93,26,11,26,19,23,31,18,59,85,14,102,89,32,43,47,39
POU6F2,47,31,33,24,1283,87,54,27,40,47,22,33,40,24,63,44,56,78,14,77,29,243,22,57,33
PPARA,4561,5869,4156,9226,6188,8160,6270,11800,5686,3661,14878,9019,10580,6437,12499,10726,8791,6842,7984,5801,6049,8880,6932,8290,9164
PPARD,9169,7302,11797,10071,10537,8960,11260,9375,6969,12154,11410,6381,11652,7598,9174,13220,15801,13423,13537,8961,13366,6884,11016,9874,8197
